residue,C,H,B,E,G,I,T,S
1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99
2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99
3,0.0,0.02,0.0,0.03,0.01,0.38,0.19,0.37
4,0.0,0.01,0.01,0.02,0.01,0.48,0.19,0.28
5,0.0,0.0,0.01,0.26,0.2,0.11,0.04,0.38
6,0.01,0.0,0.01,0.24,0.13,0.05,0.0,0.56
7,0.0,0.2,0.0,0.03,0.01,0.16,0.4,0.2
8,0.0,0.16,0.0,0.02,0.01,0.2,0.47,0.14
9,0.0,0.22,0.0,0.0,0.02,0.17,0.36,0.23
10,0.01,0.0,0.0,0.28,0.13,0.11,0.02,0.45
11,0.0,0.01,0.0,0.21,0.25,0.04,0.0,0.49
12,0.0,0.0,0.0,0.02,0.0,0.1,0.02,0.86
13,0.0,0.0,0.0,0.02,0.0,0.12,0.0,0.86
14,0.0,0.0,0.0,0.01,0.01,0.09,0.0,0.89
15,0.0,0.0,0.01,0.0,0.02,0.1,0.0,0.87
16,0.02,0.0,0.01,0.02,0.01,0.18,0.0,0.76
17,0.0,0.0,0.0,0.02,0.02,0.39,0.01,0.56
18,0.01,0.02,0.0,0.0,0.0,0.21,0.34,0.42
19,0.0,0.01,0.0,0.0,0.0,0.31,0.29,0.39
20,0.0,0.01,0.03,0.0,0.01,0.25,0.02,0.68
21,0.0,0.0,0.0,0.01,0.02,0.09,0.03,0.85
22,0.0,0.0,0.0,0.01,0.03,0.15,0.0,0.81
23,0.0,0.01,0.0,0.01,0.05,0.06,0.02,0.85
24,0.0,0.01,0.0,0.01,0.01,0.07,0.01,0.89
25,0.0,0.0,0.01,0.0,0.0,0.11,0.02,0.86
26,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.91
27,0.0,0.0,0.0,0.0,0.01,0.12,0.01,0.86
28,0.0,0.0,0.01,0.01,0.0,0.29,0.02,0.67
29,0.01,0.0,0.0,0.0,0.0,0.27,0.02,0.7
30,0.0,0.0,0.0,0.0,0.01,0.24,0.01,0.74
31,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.81
32,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.77
33,0.0,0.0,0.0,0.0,0.0,0.22,0.02,0.76
34,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.96
35,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.77
36,0.0,0.0,0.0,0.05,0.21,0.05,0.0,0.69
37,0.0,0.0,0.0,0.04,0.05,0.14,0.06,0.71
38,0.0,0.01,0.01,0.0,0.0,0.16,0.04,0.78
39,0.0,0.0,0.0,0.0,0.01,0.05,0.14,0.8
40,0.0,0.0,0.0,0.0,0.0,0.19,0.07,0.74
41,0.01,0.0,0.0,0.0,0.0,0.06,0.01,0.92
42,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.92
43,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.94
44,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99
45,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99
46,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99
